key,E1,E2,E3,G12,G23,G13,total_volume,total_area,relative_density,surface_area,average_face_area,num_faces,specific_stiffness_E1,specific_stiffness_E2,specific_stiffness_E3,anisotropy_index,avg_shear_modulus,shear_anisotropy
adjacency_matrix_10_1_2_3_4_5_6_7_8_9_18,0.287642476,0.287642476,0.287642476,0.165434888,0.165434888,0.165434888,3.8531840000000006,10.70674216747284,0.4816480000000001,963.296,1.070674216747284,10,0.5972047553399992,0.5972047553399992,0.5972047553399992,1.0,0.165434888,1.0
adjacency_matrix_10_1_2_3_4_5_6_7_9_10_13,0.276710107,0.342528364,0.284192959,0.167423054,0.165276829,0.171740971,3.9930240000000006,11.254930317401886,0.49912800000000007,998.2560000000001,1.1254930317401886,10,0.5543870650414321,0.6862535541985221,0.5693789148274591,1.2378599672906057,0.16814695133333332,1.0391109996429082
adjacency_matrix_10_1_2_3_4_5_6_7_9_10_20,0.263833062,0.258801109,0.271534982,0.142278872,0.140006853,0.149218803,3.5971840000000004,10.840716779232025,0.44964800000000005,899.296,1.0840716779232025,10,0.5867546658719709,0.5755637943457993,0.6038834421592,1.0492033169765127,0.14383484266666666,1.0657964221222802
adjacency_matrix_10_1_2_3_4_5_6_7_9_16_20,0.202241804,0.254107894,0.331152128,0.148008576,0.137133486,0.149627659,3.6314240000000004,10.840716779232025,0.45392800000000005,907.856,1.0840716779232025,10,0.4455371865141608,0.5597977961262578,0.7295256692691351,1.6374069131622264,0.14492324033333334,1.0911095704225007
adjacency_matrix_10_1_2_3_4_5_6_8_12_18_20,0.277786417,0.26517814,0.289485891,0.145562614,0.15274021,0.165605853,3.7951360000000007,10.70674216747284,0.4743920000000001,948.784,1.070674216747284,10,0.5855630301522791,0.5589852695660972,0.6102250691411321,1.0916657421309313,0.15463622566666665,1.1376949647249395
adjacency_matrix_10_1_2_3_4_5_6_8_16_17_20,0.264166017,0.262738973,0.351079136,0.148909691,0.159130516,0.158923684,3.8373120000000007,11.388904929161072,0.4796640000000001,959.3280000000001,1.1388904929161072,10,0.5507313807165014,0.5477562898195402,0.7319272157176689,1.336227861406766,0.15565463033333335,1.0686377423212838
adjacency_matrix_10_1_2_3_4_5_6_8_9_12_19,0.280391622,0.280391622,0.287126365,0.161807333,0.165923716,0.165923716,3.9898880000000005,10.572767555713654,0.49873600000000007,997.4720000000001,1.0572767555713654,10,0.5622044969683359,0.5622044969683359,0.5757081201276827,1.0240190593141187,0.16455158833333333,1.02544002749245
adjacency_matrix_10_1_2_3_4_5_6_9_14_16_20,0.211496548,0.254189905,0.34466709,0.149783284,0.148043397,0.164517715,3.809408000000001,10.70674216747284,0.4761760000000001,952.3520000000001,1.070674216747284,10,0.44415625315009566,0.5338150284768656,0.7238228932159536,1.629658229693659,0.15411479866666666,1.111280329510407
adjacency_matrix_10_1_2_3_4_5_7_11_13_14_19,0.202709834,0.330036726,0.247931349,0.146158239,0.130761262,0.143345208,3.5996800000000007,10.840716779232025,0.4499600000000001,899.9200000000001,1.0840716779232025,10,0.45050634278602536,0.7334801449017689,0.5510075317806026,1.6281239024644458,0.1400882363333333,1.1177487641561612
adjacency_matrix_10_1_2_3_4_5_7_13_18_19_20,0.203477503,0.316687055,0.256573379,0.134668969,0.134430829,0.150905886,3.6090880000000007,10.840716779232025,0.4511360000000001,902.272,1.0840716779232025,10,0.4510336195736983,0.7019769094020427,0.5687273438608312,1.5563738021691764,0.14000189466666665,1.1225541575734832
