key,E1,E2,E3,G12,G23,G13,num_faces,specific_stiffness_E1,specific_stiffness_E2,specific_stiffness_E3,normalized_E1,normalized_E2,normalized_E3,anisotropy_index,avg_shear_modulus,relative_density
adjacency_matrix_11_1_2_3_5_11_12_14_15_16_19_20,92.69165203,81.10056728,159.3420042,22.37197094,22.37197094,22.37197094,11,92.69165203,81.10056728,159.3420042,0.4635787954582314,0.4056082987761768,0.7969172277674901,0.363161766997655,22.37197094,0.26956800000000003
adjacency_matrix_6_1_2_8_16_17_20,127.3076006,76.88389444,159.0880342,19.73587116,19.73587116,19.73587116,6,127.3076006,76.88389444,159.0880342,0.6367035525456436,0.3845194512564889,0.7956470475074122,0.3296865724876975,19.73587116,0.18708800000000003
adjacency_matrix_7_1_2_3_11_14_18_20,100.8465484,83.7171035,158.9203623,17.24245504,17.24245504,17.24245504,7,100.8465484,83.7171035,158.9203623,0.5043638818548765,0.4186943823940181,0.7948084699685305,0.3314133134797528,17.24245504,0.16978400000000002
adjacency_matrix_13_1_2_3_5_6_7_9_14_16_17_18_19_20,92.179179,92.67373359,158.8816318,22.46840405,22.46840405,22.46840405,13,92.179179,92.67373359,158.8816318,0.461015763893368,0.4634891799572691,0.7946147671037711,0.3230129073279813,22.46840405,0.30163200000000007
adjacency_matrix_7_1_2_6_12_16_19_20,85.06107766,67.75844975,158.8523921,17.53037466,17.53037466,17.53037466,7,85.06107766,67.75844975,158.8523921,0.4254160008847333,0.3388803611684005,0.7944685305807542,0.4352640435830108,17.53037466,0.17016000000000003
adjacency_matrix_7_2_3_9_14_15_17_20,68.23349901,84.95290011,158.7369573,17.81596545,17.81596545,17.81596545,7,68.23349901,84.95290011,158.7369573,0.3412562252177633,0.4248749724617164,0.7938912064704811,0.4332177106036017,17.81596545,0.16904800000000003
adjacency_matrix_11_1_2_3_11_12_14_15_16_18_19_20,91.45145015,80.71284578,158.5659629,22.31240479,22.31240479,22.31240479,11,91.45145015,80.71284578,158.5659629,0.4573761733119635,0.40366918708697,0.7930360121110532,0.3652936022588854,22.31240479,0.27064000000000005
adjacency_matrix_11_1_2_3_5_6_9_12_14_16_18_20,82.90116296,71.35542487,158.5297799,22.75798202,22.75798202,22.75798202,11,82.90116296,71.35542487,158.5297799,0.4146136186530038,0.3568699142392977,0.7928550500590376,0.4258153771378053,22.75798202,0.26921600000000007
adjacency_matrix_7_1_3_7_14_15_16_19,72.10800107,61.17275968,158.4130972,21.50605713,21.50605713,21.50605713,7,72.10800107,61.17275968,158.4130972,0.3606337738819505,0.3059433468521196,0.7922714848260077,0.5000828824900626,21.50605713,0.20438400000000004
adjacency_matrix_11_1_3_5_9_12_14_15_16_17_19_20,83.25442867,72.38788287,158.4073502,22.80475645,22.80475645,22.80475645,11,83.25442867,72.38788287,158.4073502,0.4163804065862418,0.3620335468374772,0.7922427423526657,0.4202967542534763,22.80475645,0.26921600000000007
adjacency_matrix_9_3_5_6_9_12_16_17_18_20,67.63849859,67.63849859,158.389674,22.78966776,22.78966776,22.78966776,9,67.63849859,67.63849859,158.389674,0.3382804493850975,0.3382804493850975,0.79215433836671,0.4904593299288514,22.78966776,0.23785600000000004
adjacency_matrix_9_1_2_3_5_11_12_15_16_19,75.09962674,78.50617893,158.1193682,21.33139277,21.33139277,21.33139277,9,75.09962674,78.50617893,158.1193682,0.3755957925124057,0.3926329833092067,0.790802457863719,0.4241419706926342,21.33139277,0.23680000000000004
adjacency_matrix_7_1_2_9_15_16_18_20,83.73716835,64.98596819,158.1089876,17.83209559,17.83209559,17.83209559,7,83.73716835,64.98596819,158.1089876,0.4187947327361508,0.3250143480607801,0.7907505413648894,0.4481576542136852,17.83209559,0.16944800000000002
adjacency_matrix_7_1_2_7_14_16_19_20,103.716008,84.15522353,157.9925083,17.99421086,17.99421086,17.99421086,7,103.716008,84.15522353,157.9925083,0.5187149112717815,0.4208855522709752,0.7901679933963588,0.3202721286242567,17.99421086,0.17016000000000003
adjacency_matrix_5_3_5_7_9_16,50.26039632,46.96624424,157.9475135,21.258379,21.258379,21.258379,5,50.26039632,46.96624424,157.9475135,0.2513673397226527,0.2348922956398439,0.7899429608855657,0.6348579794572891,21.258379,0.17016000000000003
adjacency_matrix_7_2_3_6_9_15_16_18,47.4663829,56.94002683,157.3906082,21.8505753,21.8505753,21.8505753,7,47.4663829,56.94002683,157.3906082,0.2373936393152145,0.2847741783981534,0.7871577101914173,0.6064512615403351,21.8505753,0.20364800000000002
adjacency_matrix_11_2_3_9_11_14_15_16_17_18_19_20,79.90778607,88.39768194,157.2021362,21.14464144,21.14464144,21.14464144,11,79.90778607,88.39768194,157.2021362,0.3996428416452795,0.4421033611719635,0.7862151051042913,0.3721894932782073,21.14464144,0.26886400000000005
